index,axis-0,axis-1
0,376,824
1,17,513
2,749,665
3,367,116
4,449,532
5,97,27
6,48,956
7,317,921
8,7,184
9,86,450
10,420,764
11,61,462
12,822,997
13,410,23
14,891,399
15,540,433
16,697,993
17,382,928
18,772,76
19,162,900
20,853,148
21,302,136
22,673,1005
23,292,113
24,434,256
25,863,709
26,307,621
27,223,343
28,120,114
29,709,361
30,874,796
31,720,424
32,404,765
33,636,747
34,541,776
35,96,389
36,168,880
37,50,17
38,50,483
39,43,763
40,748,811
41,435,174
42,413,320
43,885,713
44,974,770
45,837,936
46,340,983
47,871,119
48,866,1016
49,361,636
50,426,706
51,807,727
52,67,376
53,318,228
54,58,889
55,702,440
56,407,210
57,101,636
58,512,852
59,949,815
60,304,856
61,239,684
62,452,507
63,56,455
64,225,253
65,945,155
66,400,807
67,827,152
68,414,375
69,416,995
70,12,390
71,647,564
72,74,36
73,875,697
74,254,271
75,144,528
76,1005,884
77,358,691
78,541,609
79,248,52
80,535,870
81,382,607
82,89,637
83,665,406
84,219,311
85,106,659
86,305,16
87,797,928
88,485,863
89,993,823
90,700,611
91,579,938
92,81,817
93,132,375
94,861,462
95,739,455
96,37,636
97,457,951
98,832,762
99,287,500
100,613,690
101,261,933
102,95,46
103,1013,5
104,366,377
105,615,309
106,995,368
107,586,411
108,93,848
109,16,123
110,318,386
111,242,736
112,822,922
113,252,805
114,887,644
115,37,603
116,23,613
117,668,294
118,118,679
119,697,999
120,595,325
121,438,1009
122,295,764
123,235,619
124,940,981
125,203,265
126,1003,256
127,357,102
128,228,95
129,441,1006
130,887,730
131,1018,960
132,467,966
133,149,775
134,673,964
135,298,627
136,819,905
137,646,25
138,697,490
139,326,880
140,682,46
141,212,263
142,235,776
143,665,407
