index,axis-0,axis-1
0,404,603
1,302,230
2,857,620
3,673,505
4,815,551
5,30,196
6,800,219
7,19,261
8,434,769
9,823,859
10,52,487
11,902,675
12,889,685
13,172,346
14,255,279
15,43,803
16,450,27
17,620,838
18,879,437
19,723,991
20,564,626
21,376,970
22,736,435
23,753,284
24,332,233
25,442,867
26,27,430
27,757,701
28,772,893
29,755,67
30,55,120
31,580,557
32,771,724
33,816,405
34,395,592
35,327,851
36,390,337
37,389,548
38,664,696
39,532,689
40,424,823
41,153,379
42,788,472
43,275,299
44,793,717
45,563,14
46,545,989
47,962,916
48,905,275
49,803,1002
50,542,975
51,489,549
52,386,606
53,559,653
54,772,696
55,899,124
56,261,270
57,878,988
58,854,291
59,270,1001
60,136,535
61,827,455
62,771,773
63,908,197
64,552,922
65,752,711
66,469,631
67,289,174
68,93,877
69,28,792
70,128,571
71,507,446
72,662,507
73,794,766
74,218,516
75,638,190
76,548,194
77,820,504
78,890,71
79,917,634
80,549,737
81,239,877
82,261,164
83,654,508
84,187,264
85,618,337
86,862,924
87,681,558
88,362,954
89,894,250
90,561,117
91,403,633
92,175,409
93,201,347
94,545,181
95,128,772
96,384,813
97,544,160
98,447,932
99,637,663
100,658,934
101,795,573
102,328,486
103,311,973
104,671,160
105,880,385
106,384,645
107,551,838
108,459,201
109,558,577
110,768,271
111,568,807
112,318,283
113,807,759
114,395,580
115,376,61
116,165,257
117,676,181
118,266,1012
119,945,172
120,96,254
121,288,747
122,621,703
123,418,862
124,484,744
125,401,247
126,9,147
127,754,322
128,475,464
129,962,662
130,496,54
131,282,375
132,425,353
133,405,505
134,98,869
135,229,1023
136,67,562
137,627,55
138,715,146
139,64,379
140,877,120
141,339,511
142,559,664
143,618,847
