index,axis-0,axis-1
0,1021,125
1,473,861
2,621,844
3,66,753
4,168,749
5,608,463
6,728,664
7,89,7
8,408,661
9,994,878
10,969,447
11,481,575
12,536,616
13,735,597
14,349,257
15,544,217
16,172,92
17,277,557
18,491,526
19,482,880
20,1005,556
21,65,498
22,946,375
23,735,520
24,133,795
25,43,965
26,400,242
27,227,1021
28,381,44
29,702,193
30,734,806
31,194,402
32,354,926
33,628,873
34,307,328
35,698,995
36,340,793
37,361,895
38,659,950
39,586,730
40,259,451
41,195,964
42,537,905
43,987,710
44,638,397
45,285,810
46,371,487
47,765,4
48,12,23
49,978,460
50,554,896
51,520,278
52,187,939
53,126,677
54,458,682
55,841,989
56,499,508
57,943,128
58,28,177
59,456,953
60,393,457
61,700,932
62,882,68
63,844,713
64,291,837
65,162,868
66,119,430
67,692,772
68,896,543
69,131,814
70,885,597
71,830,545
72,398,177
73,764,73
74,7,796
75,796,576
76,375,562
77,947,533
78,642,314
79,438,805
80,531,594
81,244,753
82,459,900
83,950,376
84,741,908
85,726,595
86,992,798
87,952,890
88,698,746
89,540,491
90,432,54
91,817,242
92,249,502
93,348,491
94,58,387
95,894,869
96,667,870
97,543,278
98,611,129
99,151,789
100,85,730
101,143,517
102,569,80
103,71,48
104,785,177
105,411,282
106,234,197
107,369,501
108,893,214
109,214,517
110,441,245
111,771,1003
112,531,350
113,611,471
114,460,892
115,910,685
116,170,728
117,841,781
118,604,744
119,465,470
120,672,301
121,469,431
122,397,156
123,139,403
124,913,799
125,77,317
126,203,940
127,532,450
128,824,214
129,180,443
130,337,153
131,993,237
132,987,78
133,3,208
134,433,716
135,949,416
136,742,659
137,171,357
138,967,255
139,115,807
140,776,690
141,39,470
142,104,724
143,108,1003
